time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,2,2,9,1
2025-06-09 00:00:00+00:00,0,0,3,1
2025-06-10 00:00:00+00:00,0,0,2,1
2025-06-12 00:00:00+00:00,0,0,3,1
2025-06-13 00:00:00+00:00,0,0,3,1
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,1,1,3,1
2025-06-17 00:00:00+00:00,0,0,1,1
2025-06-18 00:00:00+00:00,0,0,3,1
2025-06-19 00:00:00+00:00,4,4,8,1
2025-06-21 00:00:00+00:00,6,6,42,1
