time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-27 00:00:00+00:00,1.0,1.0,5,1
2025-06-28 00:00:00+00:00,6.0,6.0,20,2
2025-06-29 00:00:00+00:00,4.0,4.0,5,1
2025-06-30 00:00:00+00:00,1.0,1.0,1,1
2025-07-01 00:00:00+00:00,5.0,5.0,13,1
2025-07-02 00:00:00+00:00,3.0,3.0,7,1
2025-07-03 00:00:00+00:00,4.0,4.0,1,1
2025-07-04 00:00:00+00:00,2.0,2.0,4,3
2025-07-05 00:00:00+00:00,3.0,3.0,31,1
2025-07-06 00:00:00+00:00,2.0,2.0,42,4
2025-07-07 00:00:00+00:00,1.0,1.0,19,2
2025-07-08 00:00:00+00:00,5.0,5.0,6,1
2025-07-09 00:00:00+00:00,5.0,5.0,43,9
2025-07-10 00:00:00+00:00,,,31,1
