time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,6,4,0,0
2026-06-02 00:00:00+00:00,28,11,0,0
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,24,11,0,0
2026-06-06 00:00:00+00:00,26,10,0,0
2026-06-07 00:00:00+00:00,11,5,0,0
2026-06-08 00:00:00+00:00,23,10,0,0
2026-06-09 00:00:00+00:00,15,6,0,0
2026-06-10 00:00:00+00:00,16,8,0,0
2026-06-11 00:00:00+00:00,21,8,0,0
2026-06-12 00:00:00+00:00,29,11,0,0
2026-06-13 00:00:00+00:00,34,11,0,0
2026-06-14 00:00:00+00:00,28,9,0,0
