url_path,views_total,views_unique
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,34,2
/LukasBraun2/color-bot-windows,6,3
/LukasBraun2/color-bot-windows/pulse,5,1
/LukasBraun2/color-bot-windows/graphs/traffic,4,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,4,1
/LukasBraun2/color-bot-windows/tree/main,3,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2,2,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/ghrs-data/snapshots/2025-06-21_194053_top_paths_snapshot.csv,1,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,1,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,1,1
