url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,21,1
/LukasBraun2/color-bot-windows/graphs/traffic,18,1
/LukasBraun2/color-bot-windows/pulse,18,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,13,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,1,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,1,1
