time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,28,9,0,0
2026-05-13 00:00:00+00:00,6,4,0,0
2026-05-14 00:00:00+00:00,19,7,0,0
2026-05-15 00:00:00+00:00,16,8,0,0
2026-05-16 00:00:00+00:00,22,10,0,0
2026-05-17 00:00:00+00:00,19,7,0,0
2026-05-18 00:00:00+00:00,22,10,0,0
2026-05-19 00:00:00+00:00,18,8,0,0
2026-05-20 00:00:00+00:00,12,4,0,0
2026-05-21 00:00:00+00:00,34,12,0,0
2026-05-22 00:00:00+00:00,5,5,0,0
2026-05-23 00:00:00+00:00,33,12,0,0
2026-05-24 00:00:00+00:00,39,16,0,0
2026-05-25 00:00:00+00:00,25,10,0,0
