url_path,views_total,views_unique
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,48,4
/LukasBraun2/color-bot-windows,21,5
/LukasBraun2/color-bot-windows/pulse,14,1
/LukasBraun2/color-bot-windows/graphs/traffic,13,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,7,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2,3,2
/LukasBraun2/color-bot-windows/tree/main,3,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows,2,2
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,2,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,2,1
