time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,8,4,1,1
2026-07-01 00:00:00+00:00,20,9,1,1
2026-07-02 00:00:00+00:00,32,12,0,0
2026-07-03 00:00:00+00:00,16,6,0,0
2026-07-04 00:00:00+00:00,25,10,0,0
2026-07-05 00:00:00+00:00,12,6,0,0
2026-07-06 00:00:00+00:00,8,4,0,0
2026-07-07 00:00:00+00:00,37,13,0,0
2026-07-08 00:00:00+00:00,8,3,0,0
2026-07-09 00:00:00+00:00,19,8,0,0
2026-07-10 00:00:00+00:00,36,13,0,0
2026-07-11 00:00:00+00:00,10,5,0,0
2026-07-12 00:00:00+00:00,11,4,0,0
2026-07-13 00:00:00+00:00,16,9,0,0
