url_path,views_total,views_unique
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,50,4
/LukasBraun2/color-bot-windows,27,6
/LukasBraun2/color-bot-windows/pulse,16,1
/LukasBraun2/color-bot-windows/graphs/traffic,15,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,9,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2,3,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows,3,2
/LukasBraun2/color-bot-windows/tree/main,3,2
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,3,1
/LukasBraun2/color-bot-windows/branches,3,1
