time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,26,8,0,0
2026-06-16 00:00:00+00:00,21,7,0,0
2026-06-17 00:00:00+00:00,20,9,1,1
2026-06-18 00:00:00+00:00,3,3,0,0
2026-06-19 00:00:00+00:00,54,13,0,0
2026-06-20 00:00:00+00:00,30,9,0,0
2026-06-21 00:00:00+00:00,41,9,0,0
2026-06-22 00:00:00+00:00,41,11,0,0
2026-06-23 00:00:00+00:00,76,19,0,0
2026-06-24 00:00:00+00:00,21,7,0,0
2026-06-25 00:00:00+00:00,43,13,0,0
2026-06-26 00:00:00+00:00,27,9,0,0
2026-06-27 00:00:00+00:00,14,6,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
