url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,28,2
/LukasBraun2/color-bot-windows/graphs/traffic,25,1
/LukasBraun2/color-bot-windows/pulse,25,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,15,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,2,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,1,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,1,1
/LukasBraun2/color-bot-windows/graphs/commit-activity,1,1
