time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,41,11,0,0
2026-06-23 00:00:00+00:00,76,19,0,0
2026-06-24 00:00:00+00:00,21,7,0,0
2026-06-25 00:00:00+00:00,43,13,0,0
2026-06-26 00:00:00+00:00,27,9,0,0
2026-06-27 00:00:00+00:00,14,6,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
2026-06-29 00:00:00+00:00,28,9,0,0
2026-06-30 00:00:00+00:00,8,4,1,1
2026-07-01 00:00:00+00:00,20,9,1,1
2026-07-02 00:00:00+00:00,32,12,0,0
2026-07-03 00:00:00+00:00,16,6,0,0
2026-07-04 00:00:00+00:00,25,10,0,0
2026-07-05 00:00:00+00:00,12,6,0,0
