url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,19,1
/LukasBraun2/color-bot-windows/graphs/traffic,16,1
/LukasBraun2/color-bot-windows/pulse,16,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,11,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,1,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,1,1
