time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-03 00:00:00+00:00,4,4,1,1
2025-07-04 00:00:00+00:00,2,2,4,3
2025-07-05 00:00:00+00:00,3,3,31,1
2025-07-06 00:00:00+00:00,2,2,42,4
2025-07-07 00:00:00+00:00,1,1,19,2
2025-07-08 00:00:00+00:00,5,5,6,1
2025-07-09 00:00:00+00:00,5,5,43,9
2025-07-10 00:00:00+00:00,4,4,31,1
2025-07-11 00:00:00+00:00,2,2,26,2
2025-07-12 00:00:00+00:00,5,5,8,1
2025-07-13 00:00:00+00:00,5,5,6,1
2025-07-14 00:00:00+00:00,5,5,1,1
2025-07-15 00:00:00+00:00,5,5,13,1
2025-07-16 00:00:00+00:00,1,1,12,1
