url_path,views_total,views_unique
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,53,4
/LukasBraun2/color-bot-windows,48,10
/LukasBraun2/color-bot-windows/graphs/traffic,29,1
/LukasBraun2/color-bot-windows/pulse,27,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,10,2
/LukasBraun2/color-bot-windows/blob/main/ConquestLauncher.jar,5,4
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,4,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2,3,2
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows,3,2
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,3,1
