url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,32,2
/LukasBraun2/color-bot-windows/graphs/traffic,29,1
/LukasBraun2/color-bot-windows/pulse,29,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,20,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,3,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,2,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,2,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows/latest-report,2,1
/LukasBraun2/color-bot-windows/graphs/commit-activity,1,1
